Index,All Links,Lon-Link,Lat-Link,Both Links,Measurement of What,,Date,Lon-Deg,Lon-Min,Lon-Sec,Lon-E/W,Lat-Deg,Lat-Min,Lat-Sec,Lat-N/S,,longitude,latitude,title,,
102,https://cudl.lib.cam.ac.uk/view/MS-RGO-00004-00321/68      https://cudl.lib.cam.ac.uk/view/MS-RGO-00004-00321/69,https://cudl.lib.cam.ac.uk/view/MS-RGO-00004-00321/69,https://cudl.lib.cam.ac.uk/view/MS-RGO-00004-00321/68,,,,November 2,47,16,,,14,9,,N,,-47.26666667,14.15,11/02/63,,
103,https://cudl.lib.cam.ac.uk/view/MS-RGO-00004-00321/69,https://cudl.lib.cam.ac.uk/view/MS-RGO-00004-00321/69,,,,,November 2,49,29,,,,,,,,-49.48333333,,11/02/63,,
104,https://cudl.lib.cam.ac.uk/view/MS-RGO-00004-00321/70,,,https://cudl.lib.cam.ac.uk/view/MS-RGO-00004-00321/70,,,November 3,51,50,,,13,36,,,,-51.83333333,13.6,11/03/63,,
105,https://cudl.lib.cam.ac.uk/view/MS-RGO-00004-00321/70,,,https://cudl.lib.cam.ac.uk/view/MS-RGO-00004-00321/70,,,November 4,54,22,,W,13,21,,N,,-54.36666667,13.35,11/04/63,,
106,https://cudl.lib.cam.ac.uk/view/MS-RGO-00004-00321/72,https://cudl.lib.cam.ac.uk/view/MS-RGO-00004-00321/72,,,,,November 5,56,40,,,,,,,,-56.66666667,,11/05/63,,
107,https://cudl.lib.cam.ac.uk/view/MS-RGO-00004-00321/72,,,https://cudl.lib.cam.ac.uk/view/MS-RGO-00004-00321/72,,,November 6,57,45,,,13,12,,N,,-57.75,13.2,11/06/63,,
108,https://cudl.lib.cam.ac.uk/view/MS-RGO-00004-00321/74,https://cudl.lib.cam.ac.uk/view/MS-RGO-00004-00321/74,,,,,November 7,59,53,,,,,,,,-59.88333333,,11/07/63,,
109,https://cudl.lib.cam.ac.uk/view/MS-RGO-00004-00321/74,,,https://cudl.lib.cam.ac.uk/view/MS-RGO-00004-00321/74,,,November 7,58,58,,W,13,3,45,N,,-58.96666667,13.0625,11/07/63,,
110,https://cudl.lib.cam.ac.uk/view/MS-RGO-00004-00321/74,,,https://cudl.lib.cam.ac.uk/view/MS-RGO-00004-00321/74,Middle of Town,,November 7,59,0,,W,13,5,51,,,-59,13.0975,11/07/63 Middle of Town,,
111,https://cudl.lib.cam.ac.uk/view/MS-RGO-00004-00321/74,,,https://cudl.lib.cam.ac.uk/view/MS-RGO-00004-00321/74,Church,,November 7,59,0,,W,13,5,30,,,-59,13.09166667,11/07/63 Church,,
112,https://cudl.lib.cam.ac.uk/view/MS-RGO-00004-00321/78,,,,,,October 19,,,,,,,,,,,,10/19/63,,
113,https://cudl.lib.cam.ac.uk/view/MS-RGO-00004-00321/78,,https://cudl.lib.cam.ac.uk/view/MS-RGO-00004-00321/78,,,,October 20,,,,,22,19,,N,,,22.31666667,10/20/63,,
114,https://cudl.lib.cam.ac.uk/view/MS-RGO-00004-00321/78,,https://cudl.lib.cam.ac.uk/view/MS-RGO-00004-00321/78,,,,October 21,,,,,21,43,,N,,,21.71666667,10/21/63,,
115,https://cudl.lib.cam.ac.uk/view/MS-RGO-00004-00321/78,,https://cudl.lib.cam.ac.uk/view/MS-RGO-00004-00321/78,,,,October 22,,,,,20,34,,N,,,20.56666667,10/22/63,,
116,https://cudl.lib.cam.ac.uk/view/MS-RGO-00004-00321/78,,https://cudl.lib.cam.ac.uk/view/MS-RGO-00004-00321/78,,,,October 23,,,,,19,17,,N,,,19.28333333,10/23/63,,
117,https://cudl.lib.cam.ac.uk/view/MS-RGO-00004-00321/79,,,https://cudl.lib.cam.ac.uk/view/MS-RGO-00004-00321/79,,,September 23,28,10,,W,19,7,,N,,-28.16666667,19.11666667,09/23/63,,
118,https://cudl.lib.cam.ac.uk/view/MS-RGO-00004-00321/79,,,https://cudl.lib.cam.ac.uk/view/MS-RGO-00004-00321/79,,,Ditto,27,53,,W,19,7,,N,,-27.88333333,19.11666667,Ditto,,
119,https://cudl.lib.cam.ac.uk/view/MS-RGO-00004-00321/80,,https://cudl.lib.cam.ac.uk/view/MS-RGO-00004-00321/80,,,,October 24,,,,,18,21,,N,,,18.35,10/24/63,,
120,https://cudl.lib.cam.ac.uk/view/MS-RGO-00004-00321/80,,https://cudl.lib.cam.ac.uk/view/MS-RGO-00004-00321/80,,,,October 25,,,,,17,32,,N,,,17.53333333,10/25/63,,
121,https://cudl.lib.cam.ac.uk/view/MS-RGO-00004-00321/80,,https://cudl.lib.cam.ac.uk/view/MS-RGO-00004-00321/80,,,,October 26,,,,,17,2,,N,,,17.03333333,10/26/63,,
122,https://cudl.lib.cam.ac.uk/view/MS-RGO-00004-00321/80,,https://cudl.lib.cam.ac.uk/view/MS-RGO-00004-00321/80,,,,October 27,,,,,16,24,,N,,,16.4,10/27/63,,
123,https://cudl.lib.cam.ac.uk/view/MS-RGO-00004-00321/80,,https://cudl.lib.cam.ac.uk/view/MS-RGO-00004-00321/80,,,,October 28,,,,,15,56,,N,,,15.93333333,10/28/63,,
124,https://cudl.lib.cam.ac.uk/view/MS-RGO-00004-00321/80,,https://cudl.lib.cam.ac.uk/view/MS-RGO-00004-00321/80,,,,October 29,,,,,15,21,,,,,15.35,10/29/63,,
125,https://cudl.lib.cam.ac.uk/view/MS-RGO-00004-00321/80,,https://cudl.lib.cam.ac.uk/view/MS-RGO-00004-00321/80,,,,October 30,,,,,14,53,,,,,14.88333333,10/30/63,,
